covariable,tipo,SMD_pre,SMD_post,abs_SMD_post
ln_sales,continua,0.5018886679224145,-0.0092607079640724,0.0092607079640724
ln_emp,continua,1.0473343451382355,-0.0088639380909769,0.0088639380909769
a4a = 1,sector (dummy),,0.0135026530044994,0.0135026530044994
a4a = 2,sector (dummy),,0.0262985945676087,0.0262985945676087
a4a = 3,sector (dummy),,-0.0095671271893507,0.0095671271893507
a4a = 4,sector (dummy),,0.0248629810412386,0.0248629810412386
a4a = 5,sector (dummy),,-0.0156411181601585,0.0156411181601585
a4a = 6,sector (dummy),,-0.0591639674141523,0.0591639674141523
a4a = 7,sector (dummy),,-0.012900809647968,0.012900809647968
MÃ¡ximo abs(SMD) en sectores a4a,resumen,,,0.0591639674141523
